Nвар    |Hp	|V	|v0     	
1	|3.670	|2500	|2.9
2	|3.790	|3400	|2.85
3	|3.910	|4500	|2.96
4	|4.160	|6200	|3.05
5	|4.300	|8400	|2.94
6	|4.860	|11700	|2.95
7	|5.300	|16500	|3.12
8	|6.050	|23200	|3.05
9	|6.710	|32600	|3.14
10	|7.630	|45700	|3.10
11	|3.670	|2600	|2.9
12	|3.790	|3500	|2.85
13	|3.910	|4600	|2.96
14	|4.160	|6300	|3.05
15	|4.300	|8500	|2.94
16	|4.860	|11800	|2.95
17	|5.300	|16600	|3.12
18	|6.050	|23300	|3.05
19	|6.710	|32700	|3.14
20	|7.630	|45800	|3.10
21	|3.670	|3000	|2.9
22	|3.790	|3900	|2.85
23	|3.910	|5000	|2.96
24	|4.160	|7000	|3.05
25	|4.300	|10000	|2.94
26	|4.860	|14000	|2.95
27	|5.300	|19000	|3.12
28	|6.050	|30000	|3.05
29	|6.710	|40000	|3.14
30	|7.630	|50000	|3.10
