Nвар    |d	|k	|ρ	|μ		|D	|ω  	
1	|1	|41.4	|2150	|0.000022	|1.1	|1
2	|2	|41.4	|2150	|0.000022	|1.2	|2
3	|3	|41.4	|2150	|0.000022	|1.3	|3
4	|4	|41.4	|2150	|0.000022	|1.4	|4
5	|5	|41.4	|2150	|0.000022	|1.5	|5
6	|6	|41.4	|2150	|0.000022	|1.6	|6
7	|7	|41.4	|2150	|0.000022	|1.7	|7
8	|8	|41.4	|2150	|0.000022	|1.8	|8
9	|9	|41.4	|2150	|0.000022	|1.9	|9
10	|10	|41.4	|2150	|0.000022	|1.10	|10
11	|11	|41.4	|2150	|0.000022	|1.11	|11
12	|12	|41.4	|2150	|0.000022	|1.12	|12
13	|13	|41.4	|2150	|0.000022	|1.13	|13
14	|14	|41.4	|2150	|0.000022	|1.14	|14
15	|15	|41.4	|2150	|0.000022	|1.15	|15
16	|16	|41.4	|2150	|0.000022	|1.16	|16
17	|17	|41.4	|2150	|0.000022	|1.17	|17
18	|18	|41.4	|2150	|0.000022	|1.18	|18
19	|19	|41.4	|2150	|0.000022	|1.19	|19
20	|20	|41.4	|2150	|0.000022	|1.20	|20
21	|21	|41.4	|2150	|0.000022	|1.21	|21
22	|22	|41.4	|2150	|0.000022	|1.22	|22
23	|23	|41.4	|2150	|0.000022	|1.23	|23
24	|24	|41.4	|2150	|0.000022	|1.24	|24
25	|25	|41.4	|2150	|0.000022	|1.25	|25
26	|26	|41.4	|2150	|0.000022	|1.26	|26
27	|27	|41.4	|2150	|0.000022	|1.27	|27
28	|28	|41.4	|2150	|0.000022	|1.28	|28
29	|29	|41.4	|2150	|0.000022	|1.29	|29
30	|30	|41.4	|2150	|0.000022	|1.30	|30
