Nвар    |F	|E	|d	|μ	|Vг	
1	|1000	|100000	|3	|10	|15
2	|1100	|150000	|4	|11	|20
3	|1200	|120000	|3	|12	|25
4	|1300	|140000	|8	|13	|30
5	|1400	|180000	|3	|14	|35
6	|1500	|190000	|15	|15	|40
7	|1600	|120000	|3	|16	|45
8	|1700	|130000	|16	|17	|50
9	|1800	|180000	|3	|18	|55
10	|1900	|150000	|23	|19	|60
11	|1000	|280000	|3	|10	|15
12	|1100	|240000	|42	|11	|20
13	|1200	|270000	|5	|12	|25
14	|1300	|280000	|6	|13	|30
15	|1400	|290000	|7	|14	|35
16	|1500	|200000	|8	|15	|40
17	|1600	|260000	|9	|16	|45
18	|1700	|250000	|10	|17	|50
19	|1800	|210000	|11	|18	|55
20	|1900	|250000	|12	|19	|60
21	|1900	|300000	|11	|20	|60
21	|1000	|350000	|10	|10	|15
22	|1100	|330000	|8	|11	|20
23	|1200	|380000	|7	|12	|25
24	|1300	|300000	|5	|13	|30
25	|1400	|380000	|6	|14	|35
26	|1500	|370000	|3	|15	|40
27	|1600	|350000	|8	|16	|45
28	|1700	|320000	|11	|17	|50
29	|1800	|350000	|5	|18	|55
30	|1900	|380000	|2	|19	|60
